1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,norm_air_quality
1219,2,16,2471,2,1.52,3.66,1,2192,1484,3,2,3,2,3,3,27,3,2,3,3,3,0,1,3,4,4,4,4.29,North America,United States,charleston-sc-united-states,0.040871935
2616,3,22,2562,3,1.99,3.2,1,3001,2168,3,2,3,4,3,2,16,3,4,3,3,3,0,1,3,4,4,4,4.53,Europe,United Kingdom,london-united-kingdom,0.057220708
739,2,11,1861,2,1.99,3.51,1,1885,1155,2,3,3,3,3,4,36,3,2,4,3,4,0,1,4,3,4,4,3.5,Europe,Ireland,cork-ireland,0.027247956
2010,3,28,1678,2,1.6,3.12,1,2133,1592,3,2,3,3,2,4,19,3,4,3,3,1,0,1,4,4,4,4,4.15,Asia,Japan,tokyo-japan,0.073569482
1360,3,11,3264,2,1.89,3.75,1,2916,1993,3,2,3,3,3,3,35,4,3,3,3,3,0,1,3,4,4,4,4.41,North America,United States,miami-fl-united-states,0.027247956
671,2,16,1495,2,1.45,2.56,2,1507,965,4,3,3,3,4,3,20,4,3,4,3,4,0,1,3,4,4,4,4.44,North America,Canada,montreal-canada,0.040871935
1587,4,17,1617,2,1.7,3.21,1,2613,1922,4,3,4,2,4,3,17,3,2,4,3,3,0,1,4,3,4,4,4.04,Oceania,Australia,perth-australia,0.04359673
602,2,7,1769,3,0.88,2.26,3,1126,733,3,1,4,3,3,1,18,3,3,1,3,1,0,0,3,3,1,1,3.64,Asia,Thailand,ko-samui-thailand,0.016348774
354,3,50,1464,1,0.67,1.74,3,873,486,1,1,3,2,1,1,10,2,1,1,2,2.278390164,1,0,3,2,4,4,3.87,Asia,Cambodia,siem-reap-cambodia,0.133514986
296,2,13,763,3,0.3,1.51,3,587,416,2,1,4,1,3,1,11,2,1,1,3,1,0,0,3,3,1,4,3.88,Asia,Thailand,pai-thailand,0.032697548
425,2,30,854,2,0.43,1.27,3,691,492,2,1,2,2,1,1,6,1,1,2,3,1,0,0,3,3,3,4,3.96,Asia,Vietnam,hanoi-vietnam,0.079019074
717,2,84,1525,3,1,3.95,3,1399,1031,4,1,4,3,2,1,8,2,4,2,2,3,0,0,3,3,3,4,4.26,Asia,China,shanghai-china,0.226158038
656,3,10,1586,1,0.86,3.37,3,1270,904,4,2,4,2,3,4,25,4,3,2,3,3,0,0,3,3,4,4,4.27,Asia,Taiwan,taipei-taiwan,0.024523161
216,4,41,641,1,0.67,1.54,3,627,380,2,1,3,2,3,2,12,2,2,2,3,1.818970019,0,0,1,3,4,4,4.2,Latin America,Mexico,guadalajara-mexico,0.108991826
1120,3,14,2074,2,1.63,4.11,1,1946,1200,3,2,4,4,3,3,31,3,4,3,3,3,0,1,3,4,4,4,4.52,North America,United States,las-vegas-nv-united-states,0.035422343
1258,2,15,2654,2,1.63,3.53,1,2366,1515,2,2,2,2,3,3,32,2,2,3,3,2,0,1,3,3,4,4,4.1,North America,United States,ithaca-ny-united-states,0.038147139
1160,2,19,2166,2,1.91,3.83,1,2256,1462,3,2,3,3,3,3,21,3,2,3,3,3,0,1,2,4,4,4,4.33,North America,United States,philadelphia-pa-united-states,0.049046322
1800,2,10,2532,2,1.71,3.88,1,2868,2050,2,2,3,2,3,3,35,2,3,3,3,2,0,1,3,3,4,1,4.3,North America,United States,princeton-nj-united-states,0.024523161
704,2,25,1617,1,2.33,1.87,1,1917,1069,2,2,4,2,2,4,20,2,2,3,3,2,0,1,3,3,4,4,4.26,Europe,Italy,bologna-italy,0.065395095
1261.243309,3,16,3935,2,2.28,4.61,1,2136.002533,1364.138298,3,2,4,4,3,3,33,3,4,3,3,3,0,1,3,4,4,4,4.36,North America,United States,san-francisco-ca-united-states,0.040871935
1020,2,19,2349,2,1.89,3.93,1,2357,1574,3.082286077,2,3,2,3,3,31,2,3,3,3,3,0,1,2,3,4,4,3.93,North America,United States,houston-tx-united-states,0.049046322
1547,2,19,2074,1,2.21,3.93,1,2369,1591,4,4,4,3,4,3,22,4,3,4,3,3,0,1,3,4,4,4,4.19,Europe,Finland,helsinki-finland,0.049046322
700,2,10,1830,3,1.17,2.33,2,1217,864,2,3,2,2,3,4,18,2,2,3,3,2,0,1,4,3,4,1,3.8,Europe,Spain,tarifa-spain,0.024523161
366,2,11,763,2,0.87,1.77,3,771,524,2,1,2,2,3,1,11,3,3,2,3,2,1,0,1,3,1,2,4.05,Latin America,Brazil,salvador-brazil,0.027247956
1330,2,23,2074,1,3.96,4.65,1,2526,1789,4,3,4,3,4,4,46,4,2,4,3,3,0,1,4,4,4,4,4.44,Europe,Switzerland,bern-switzerland,0.059945504
945,2,11,1403,2,1.9,3.49,2,1834,1300,2,3,3,2,4,3,17,2,2,4,3,4,0,1,3,4,4,4,3.94,North America,Canada,calgary-canada,0.027247956
1030,2,16,1678,2,1.83,3.6,1,1824,1189,4,2,2,2,3,3,17,2,2,3,3,3,0,1,3,4,4,4,4.31,North America,United States,phoenix-az-united-states,0.040871935
354,2,43,1037,1.805062539,0.75,1.24,3,851,487,3,1,3,3,1,1,26,1,3,3,3,2,0,0,3,3,4,4,4.38,Europe,Bulgaria,sofia-bulgaria,0.114441417
797,2,22,1495,2,2.48,3.93,1,1934,1283,3,2,3,3,3,4,44,3,3,3,3,3,0,1,3,3,4,4,4.27,Europe,France,lyon-france,0.057220708
206.8147993,2,12,824,2,0.17,0.62,3,1090.525198,569.2580142,2,1,2,1,1,2,7,1,1,1,3,2,1,0,2,3,4,4,3.57,Middle East,Egypt,dahab-egypt,0.029972752
340,2,53,1190,1.898570996,0.51,1.72,3,852,510,2,1,3,3,2,1,10,1,4,1,3,2,1,0,3,3,4,4,4.12,Europe,Turkey,istanbul-turkey,0.141689373
